PM2.5,PM10,NO2,CO,SO2,O3,AQI,AQI_Bucket
47.53,79,17.58,0.65,17.05,41.13,73,2
46.6,78.44,17.93,0.62,18.96,43.5,76,2
67.15,107.1,25.62,0.84,12.22,47.84,96,2
66.82,105.01,17.15,0.75,12.67,53.85,137,3
83.16,120.25,17.41,0.76,17.03,49.59,138,3
79.92,119.82,19.92,0.9,23.63,43.53,188,3
83.64,118.52,15.67,0.84,16.5,50.47,166,3
72.34,103.82,13.46,0.71,17.81,56.41,162,3
72.99,104.91,13.46,0.69,11.56,57.63,147,3
76.56,115.06,14.77,0.82,14.21,56.77,138,3
84.51,120.22,13.16,0.95,17.69,54,194,3
50.52,81.46,14.79,0.59,13.86,32.95,114,3
41.79,73.58,17.65,0.63,14.1,29.21,77,2
57.09,88.15,15.8,0.78,9.56,35.44,79,2
74.45,110.95,12.5,0.75,19.09,59.61,133,3
59.42,90.44,12.73,0.92,20.55,63.08,131,3
49.5,80.8,12.64,0.64,17.14,64.8,87,2
59.64,88.85,12.12,0.77,17.53,57.26,96,2
42.46,65.39,12.17,0.73,17.09,55.17,82,2
39.07,62.93,13.53,0.69,22.14,43.7,76,2
22.79,38.35,18.79,0.64,19.87,23.59,47,1
37.81,56.66,12.98,0.63,14.68,36.53,55,2
38.82,61.4,11.64,0.65,18.74,48.53,66,2
69.49,97.7,12.04,0.68,17.89,59.37,109,3
53.32,75.4,11.47,0.64,15.37,53.9,103,3
37.23,62.09,13.23,0.53,13.54,46.31,78,2
51.22,84.62,21.49,0.67,20.19,36.26,70,2
66.57,100.98,16.47,0.76,18.45,37.24,110,3
78.28,109.42,16.82,0.8,24.75,47.01,147,3
85.67,121.55,20.64,0.95,32.97,47.84,177,3
82.66,111.92,14,0.85,17.11,56.49,168,3
68.4,90.93,11.06,0.76,18.33,48.09,163,3
56.44,75.95,10.33,0.64,9.86,47.51,108,3
45.81,66.69,11.52,0.66,15.86,44.3,82,2
31.59,51.42,8.68,0.6,12.33,35.43,60,2
36.62,58.14,10.43,0.69,16.57,35.86,58,2
31.22,57.33,16.9,0.63,14.64,33.25,62,2
29.88,55.3,15.62,0.63,14.09,35.92,63,2
37.56,65.26,14.76,0.65,14.71,41.22,63,2
59.33,93.3,17.94,0.75,18.29,40.9,87,2
61.4,96.6,15.34,0.73,23.54,43.29,101,3
51.18,76.33,11.66,0.64,18.69,46.21,98,2
38.39,63.99,15.39,0.61,20,36.83,77,2
34.56,62.65,16.51,0.57,19.73,44.57,74,2
33.62,60.66,14.78,0.52,20.29,36.88,65,2
29.98,51.68,9.21,0.52,12.76,32.35,59,2
32.18,60.01,13.11,0.55,15.43,36.9,59,2
26.72,53.9,15.53,0.49,19.06,32.28,66,2
21.22,43.36,12.12,0.45,18.25,31.33,52,2
19.94,42.27,10.35,0.47,13.38,31.97,47,1
24.44,47.41,12.27,0.54,15.16,30.12,48,1
27.24,49.64,14.18,0.52,16.38,32.33,54,2
25.74,46.38,11.44,0.52,19.32,36.58,54,2
20.12,42.08,14.78,0.52,15.01,27.59,47,1
16.85,37.38,9.88,0.44,18.3,36.72,44,1
22.46,41.78,10.81,0.38,20.25,35.46,45,1
38.73,63.42,16.17,0.62,17.41,35.62,51,2
36.26,56.64,14.25,0.53,17.68,46.43,65,2
45.14,73.27,13.84,0.6,18.99,53.62,70,2
59.61,94.82,17.03,0.67,21.32,55.77,86,2
61.24,99.2,25.9,0.64,34.59,46.13,110,3
43.11,76.55,16.21,0.52,23.05,46.64,87,2
64.53,110.64,23.25,0.78,27.95,53.69,103,3
37.53,64.2,14.1,0.44,15.75,40.59,88,2
29.12,54.82,14.06,0.44,19.12,41.62,66,2
31.68,62.23,14.53,0.48,20.98,37.94,66,2
40.98,69.15,14.6,0.46,18.62,39.9,65,2
49.1,74.88,12.98,0.44,17.74,49.28,77,2
35.92,61.83,11.83,0.47,16.2,42.11,74,2
27.13,54.16,12.98,0.48,20.2,39.74,60,2
34.81,62.43,14.44,0.77,13,44.47,82,2
31.66,53.22,9.29,0.62,15.94,46.68,68,2
24.86,47.43,10.73,0.61,16.73,39.9,53,2
31.28,59.42,13.15,0.81,19.56,40.48,78,2
38.85,67.95,13.49,0.86,22.27,43.97,73,2
31.99,57.18,10.99,0.66,23.6,51.47,68,2
35.99,59.72,10.24,0.52,18.21,51.81,65,2
32.99,56.46,8.29,0.48,19.32,52.32,67,2
39.84,62.14,11.69,0.56,24.7,49.09,67,2
40.19,64.95,10.71,0.58,22.82,45.68,70,2
35.95,59.47,12.61,0.55,17.88,38.71,66,2
20.14,31.66,7.85,0.49,18.35,26.21,47,1
14.26,24.49,6.19,0.52,12.13,26.65,35,1
10.28,22.95,8.15,0.49,29.5,24.62,35,1
12.37,22.79,9.77,0.54,18.18,19.25,42,1
10.63,22.11,7.78,0.46,25.19,24.48,35,1
23.78,44.16,8.07,0.49,21.65,27.22,48,1
25.83,45.42,7.94,0.47,22.1,28.67,48,1
27.28,47.52,9.42,0.57,19.49,28.25,48,1
31.49,49.92,8.93,0.64,19.67,34.5,54,2
19.45,36.11,9.54,0.58,16.2,31.44,48,1
18.86,35.92,8.13,0.55,19.8,32.35,51,2
15.23,28.92,7.4,0.49,25.54,28.78,43,1
13.9,26.07,5.15,0.49,23.29,25.43,37,1
25.49,42.7,4.19,0.48,23,27.87,39,1
26.01,50.98,4.65,0.45,24.44,29.73,51,2
17.19,39.17,4.81,0.46,20.71,28.52,47,1
16.77,35.65,4.29,1.47,18.95,27.74,101,3
23.67,44.23,4.99,0.66,18.8,29.32,108,3
25.36,50.63,4.69,0.23,21.49,37.28,52,2
25.12,52.01,4.71,0.25,22.1,43.19,61,2
26.96,53.31,5.11,0.37,19.29,38.57,58,2
24.22,66.04,4.33,0.5,7.19,24.36,69,2
25.16,66.12,5.41,0.6,7.99,13.71,64,2
20.96,68.44,5.69,0.6,10.85,17.45,70,2
22.5,62.08,6.94,0.57,17.09,21.62,63,2
19.96,58.07,5.43,0.55,9.11,21.51,62,2
8.09,37.02,9.29,0.48,9.85,14.81,46,1
12.78,38.24,9.72,0.51,6.61,18.39,41,1
10.23,35.22,10.19,0.5,12.47,19.36,40,1
7.89,34.52,11.09,0.54,16.74,18.72,39,1
9.33,36.04,8.83,0.44,11.48,30.3,58,2
10.14,43.39,7.06,0.42,12.83,35.22,44,1
11.49,47.69,6.9,0.42,12.34,38.36,50,1
12.19,49.5,10.16,0.44,11.95,38.42,54,2
10.39,44.35,10.06,0.5,15.46,40.05,61,2
10.18,25.24,15.4,0.59,13.75,40.65,58,2
5.6,12.17,14.58,0.51,18.82,42.45,53,2
4.7,12.83,10.03,0.53,13.34,34.37,47,1
4.65,12.76,8.44,0.48,12.34,35.22,44,1
11.71,25.81,8.06,0.53,16.01,39.34,47,1
10.07,24.04,9.21,0.48,12.19,33.82,41,1
11.61,31.52,16.7,0.5,16.28,31.19,39,1
8.73,18.33,16.26,0.38,17.54,29.47,36,1
11.2,27.86,12.95,0.62,17.81,31.9,42,1
11.03,34.97,13.74,0.64,10.39,31.37,43,1
16.99,45.43,9.48,0.55,11.19,41.25,55,2
12.74,30.83,10.27,0.59,13.28,34.95,50,1
17.97,50.49,12.1,0.65,11.68,30.15,46,1
15.48,34.84,9.15,0.58,15.88,39.82,55,2
14.88,35.33,10.59,0.59,14.04,38.01,52,2
20.74,37.36,8.44,0.62,15.38,39.32,50,1
14.5,24.43,6.53,0.55,13.75,33.76,42,1
16.65,28.51,8.32,0.66,10.86,37.34,49,1
20.96,32.56,9.55,0.66,14.79,43.29,56,2
21.34,35.16,10.69,0.66,14.58,45.32,61,2
